"gene_symbol","sample","expression","age_num","age"
"Ak8","Thalamus_22_Male_15",5.06449454010495,15,"15M"
"Ak8","Thalamus_26_Male_15",84.6682416702263,15,"15M"
"Ak8","Thalamus_30_Male_15",8.11215368790052,15,"15M"
"Ak8","Thalamus_34_Male_15",16.3610426646365,15,"15M"
"Ak8","Thalamus_38_Female_15",22.5753608050623,15,"15M"
"Ak8","Thalamus_42_Female_15",28.5587907672396,15,"15M"
"Ak8","Thalamus_46_Female_15",58.7884617963409,15,"15M"
"Ak8","Thalamus_50_Female_15",29.169686299973,15,"15M"
"Ak8","Thalamus_54_Female_15",21.9858589977362,15,"15M"
"Ak8","Thalamus_19_Male_18",32.1193640535647,18,"18M"
"Ak8","Thalamus_23_Male_18",25.3371217794763,18,"18M"
"Ak8","Thalamus_27_Male_18",9.97623488160269,18,"18M"
"Ak8","Thalamus_31_Male_18",30.917322582864,18,"18M"
"Ak8","Thalamus_35_Male_18",51.4741027004414,18,"18M"
"Ak8","Thalamus_39_Female_18",88.141406691729,18,"18M"
"Ak8","Thalamus_43_Female_18",18.2267145971389,18,"18M"
"Ak8","Thalamus_47_Female_18",83.5304609868684,18,"18M"
"Ak8","Thalamus_51_Female_18",20.5176209202631,18,"18M"
"Ak8","Thalamus_55_Female_18",67.4019560578815,18,"18M"
"Ak8","Thalamus_16_Male_21",80.6553435970045,21,"21M"
"Ak8","Thalamus_20_Male_21",59.3008436989995,21,"21M"
"Ak8","Thalamus_24_Male_21",17.559554162319,21,"21M"
"Ak8","Thalamus_28_Male_21",16.4914788153757,21,"21M"
"Ak8","Thalamus_32_Male_21",29.6886661461714,21,"21M"
"Ak8","Thalamus_36_Male_21",57.5652818121399,21,"21M"
"Ak8","Thalamus_40_Female_21",19.6676806929649,21,"21M"
"Ak8","Thalamus_44_Female_21",38.5639889789337,21,"21M"
"Ak8","Thalamus_48_Female_21",66.4951273454037,21,"21M"
"Ak8","Thalamus_52_Female_21",63.4362231242581,21,"21M"
"Ak8","Thalamus_56_Female_21",17.5934209972509,21,"21M"
"Ak8","Thalamus_11_Male_26",6.07634794900227,26,"26M"
"Ak8","Thalamus_14_Male_26",21.8017670212714,26,"26M"
"Ak8","Thalamus_2_Male_26",7.63446360586866,26,"26M"
"Ak8","Thalamus_5_Male_26",9.54762787055722,26,"26M"
