"Sample","age"
"Thalamus_31_Male_18",18
"Thalamus_35_Male_18",18
"Thalamus_39_Female_18",18
"Thalamus_43_Female_18",18
"Thalamus_47_Female_18",18
"Thalamus_51_Female_18",18
"Thalamus_55_Female_18",18
"Visual Cortex_19_Male_18",18
"Visual Cortex_23_Male_18",18
"Visual Cortex_27_Male_18",18
"Visual Cortex_31_Male_18",18
"Visual Cortex_35_Male_18",18
"Visual Cortex_39_Female_18",18
"Visual Cortex_43_Female_18",18
"Visual Cortex_47_Female_18",18
"Visual Cortex_51_Female_18",18
"Visual Cortex_55_Female_18",18
"Corpus callosum_16_Male_21",21
"Corpus callosum_20_Male_21",21
"Corpus callosum_24_Male_21",21
"Corpus callosum_28_Male_21",21
"Corpus callosum_32_Male_21",21
"Corpus callosum_36_Male_21",21
"Corpus callosum_40_Female_21",21
"Corpus callosum_44_Female_21",21
"Corpus callosum_48_Female_21",21
"Corpus callosum_52_Female_21",21
"Corpus callosum_56_Female_21",21
"Cerebellum_16_Male_21",21
"Cerebellum_20_Male_21",21
"Cerebellum_24_Male_21",21
"Cerebellum_28_Male_21",21
"Cerebellum_32_Male_21",21
"Cerebellum_36_Male_21",21
"Cerebellum_40_Female_21",21
"Cerebellum_44_Female_21",21
"Cerebellum_48_Female_21",21
"Cerebellum_52_Female_21",21
"Cerebellum_56_Female_21",21
"Motor cortex_16_Male_21",21
"Motor cortex_20_Male_21",21
"Motor cortex_24_Male_21",21
"Motor cortex_28_Male_21",21
"Motor cortex_32_Male_21",21
"Motor cortex_36_Male_21",21
"Motor cortex_40_Female_21",21
"Motor cortex_44_Female_21",21
"Motor cortex_48_Female_21",21
"Motor cortex_52_Female_21",21
"Motor cortex_56_Female_21",21
"Caudate putamen_16_Male_21",21
"Caudate putamen_20_Male_21",21
"Caudate putamen_24_Male_21",21
"Caudate putamen_28_Male_21",21
"Caudate putamen_32_Male_21",21
"Caudate putamen_36_Male_21",21
"Caudate putamen_40_Female_21",21
"Caudate putamen_44_Female_21",21
"Caudate putamen_48_Female_21",21
"Caudate putamen_52_Female_21",21
"Caudate putamen_56_Female_21",21
"Entorhinal cortex_16_Male_21",21
"Entorhinal cortex_20_Male_21",21
"Entorhinal cortex_24_Male_21",21
"Entorhinal cortex_28_Male_21",21
"Entorhinal cortex_32_Male_21",21
"Entorhinal cortex_36_Male_21",21
"Entorhinal cortex_40_Female_21",21
"Entorhinal cortex_44_Female_21",21
"Entorhinal cortex_48_Female_21",21
"Entorhinal cortex_52_Female_21",21
"Entorhinal cortex_56_Female_21",21
"Hippocampus (posterior)_16_Male_21",21
"Hippocampus (posterior)_20_Male_21",21
"Hippocampus (posterior)_24_Male_21",21
"Hippocampus (posterior)_28_Male_21",21
"Hippocampus (posterior)_32_Male_21",21
"Hippocampus (posterior)_36_Male_21",21
"Hippocampus (posterior)_40_Female_21",21
"Hippocampus (posterior)_44_Female_21",21
"Hippocampus (posterior)_52_Female_21",21
"Hippocampus (posterior)_56_Female_21",21
"Hippocampus (anterior)_16_Male_21",21
"Hippocampus (anterior)_20_Male_21",21
"Hippocampus (anterior)_24_Male_21",21
"Hippocampus (anterior)_28_Male_21",21
"Hippocampus (anterior)_32_Male_21",21
"Hippocampus (anterior)_36_Male_21",21
"Hippocampus (anterior)_40_Female_21",21
"Hippocampus (anterior)_44_Female_21",21
"Hippocampus (anterior)_48_Female_21",21
"Hippocampus (anterior)_52_Female_21",21
"Hippocampus (anterior)_56_Female_21",21
"Hypothalamus_16_Male_21",21
"Hypothalamus_20_Male_21",21
"Hypothalamus_24_Male_21",21
"Hypothalamus_28_Male_21",21
"Hypothalamus_32_Male_21",21
"Hypothalamus_36_Male_21",21
"Hypothalamus_40_Female_21",21
