"","age","region","bio","AMPdGMP","AdG","C","G","GMP","I","UMPpseudoUMP","UpseudoU","ca5dC","dA","dAMP","dCTP","dITP","f5dC","f5dCTP","m6Am","m6dA","mA","mChm5dC","mG","mU"
"21","15M","fornix","3",47.4199232466945,0.888012378472417,0.806477731509927,0,2.82310127583154,121.173581909355,0,0,0,3.80981366175255,0,0,0,0,0,0,2.06926351396382,3.02064410509982,414.166049051906,0,0
"22","15M","hippocampus","1",51.4035868546418,28.8849561783281,0.530061031200355,0,7.65358385581045,112.048254221235,0.262970692940072,2.20223221598324,0,2.27432383438597,0,0,0,0.444987093952139,0,0.392196177123055,4.24481583343203,1.28343512091406,345.691165379643,0,0
"23","15M","hippocampus","2",50.0211475801412,19.3292304655167,1.91691328752571,0,3.61602447070054,124.436659063853,0.864121706225748,1.55072636692481,0,2.14104816201659,0,0,0,1.22964546732735,0,0,0.972991563878267,0.718322665290023,424.405462238504,0,0.718290418265163
"24","15M","hippocampus","3",45.8260080876009,34.8656695890338,0.41415159893647,0,4.76309576501845,83.6543557751989,1.04437108439332,2.31874600426206,0,1.96401550193065,0,0,0,0.307511096578964,0,0.604087452914873,2.26021027611877,0.551320460875298,370.373977777664,0.327410013386909,0.468932322401846
"25","15M","Hypothalamus","1",57.2655646319807,6.30354835211306,2.78689163115771,0,5.82158368787873,260.452522185945,0.449207842234583,4.98825877342765,0,1.79262916957915,0.754726952778886,0,0,0.299074749570728,0,0,0.272068243022203,2.29905816469811,846.296834822092,0,0.673715586311797
"26","15M","Hypothalamus","2",75.4076376273122,0,2.57590236565463,0.232782103685462,7.68298105632579,202.467104071935,0.174333949097429,5.08257526027832,0,3.77484679888216,0,0,0,0,0,0.243579522417844,2.81874082275439,2.85823699340163,983.742411223507,0.812356465381867,1.51881061404966
"27","15M","Hypothalamus","3",48.0966864771646,0,0.581213293926296,0.524649018812817,4.47282219371583,223.614864189656,0,3.66146887639752,0,1.650685234685,0.897436410446174,0,0,1.25558309756717,0,0.959433124521903,2.27691183320257,0.451545397650025,709.9858351402,0.447405669058879,0
"28","15M","midbrain","1",45.9631932705162,0,3.32861518352449,0,6.54443728485861,278.281815687187,0,7.49422441838603,0,4.13000811636111,0,0,0,1.38809652801702,0,0.6168660777425,1.87348509445581,3.55904101806013,768.219500477709,0,0.400777635153971
"29","15M","midbrain","2",51.0547930019372,0,2.62173562227243,0,5.31013930775672,287.113040314586,0.406948742827561,5.56710709788167,0,3.93638633117823,1.82645714633801,0,0,0.418680730037436,0,0.678922468940378,2.37934029131783,3.46476704324538,911.543553546991,0,1.11444996504797
"30","15M","midbrain","3",40.373577308283,0.994169459658809,0.935371900571965,0.147620623974192,3.50678521323214,221.917830565788,0.141351553708162,5.14968423907255,0,3.431596158662,0.721183221585192,0,0,1.16224106067307,0,0.718065336685347,1.54431513660424,0.968291906827349,622.973270442246,0.121067106759002,0.369767998717337
"31","15M","olfactory bulbs","1",44.8853204017783,51.293058288126,0.323971791780904,0.573556377990023,11.6382128348448,107.657535784343,1.00355147671579,6.37240219623288,0,2.76257374732547,0.127332915639153,0.0279866388309584,0,0.543378360411037,0,0.244023396271585,2.06276601151889,2.19422518687235,435.303959124837,0.0808373850976817,0.110537582428479
"32","15M","olfactory bulbs","2",44.9346361914138,11.7338621761123,0.302820859152584,0.52926511753468,21.4502255320482,143.515620491911,1.08432303021566,3.1902479407618,0,2.62430022138899,0.0472600561577842,0,0,0.380955790043892,0,0.356237943198793,1.77162378965836,1.18319324848958,357.124866848581,0.0869183367884509,0.119259228965768
"33","15M","olfactory bulbs","3",29.1548153024773,54.8327393400009,0.492392178698699,1.13396462733481,7.60171341552075,94.7603903009643,0.662529205995126,6.17061448881075,0,2.87575556451862,0.162999031621921,0.084109425287621,0,0.267975032092797,0,0.209976433800332,1.67857852390516,1.46993874348734,330.157622784124,0,0.148226314685594
"34","15M","pons&medulla","1",41.2160001794977,0,0.454448374385667,0.159076499350254,2.67135155386568,253.393791209586,0.0975295132219818,5.14058264540157,0,2.06815701350558,0,0.107828626522507,0,0.922292977093214,0,0.388418355889564,2.02738428518386,2.6442191858674,348.764980706406,0.318936761222679,0.213823667573744
"35","15M","pons&medulla","2",42.8324498976514,0.506365625148232,0.372472090362762,0,2.18997873205312,206.792524174146,0.276482099679031,3.00645125006522,0,3.5618129261205,0.313287869229229,0,0,0.594472200737503,0,0.858604810921217,2.35288341411578,1.28063912370846,363.628141335901,0.15618004538637,0
"36","15M","pons&medulla","3",44.0819040968236,0.601014667621351,0.225648594509741,0.453963801104877,1.99624399364857,173.142216779652,0.188933242227984,2.94632274926491,0,2.87404628998814,0.130510878699918,0,0,0.292720126238207,0,0.465279659860069,1.55239753507221,0.871822280265874,374.705678886931,0.11697252261449,0.132637817248365
"37","15M","Thalamus","1",49.1750173654546,10.6327757359717,0.0919065406636718,0.136624411965502,5.8401870154201,201.399762027203,0,4.29316336328789,0,3.3181641759407,0.0972543552449694,0,0,0.782698398937678,0,0.203520434627898,2.07640045617731,2.04755114581956,499.516869327781,0.19292762494642,0.487126564156873
"38","15M","Thalamus","2",58.7732699197923,18.6322818002914,0.963189830673893,0.097475442877154,7.32960412715334,173.217566006243,0.0751589808737997,2.35821089535936,0,3.58251240286185,0.172717386938693,0,0,0.536126007371145,0,0.440778503063034,2.49842964872529,2.76098031057994,651.230791384581,0.199573986063025,0.335671004709037
"39","15M","Thalamus","3",48.8367820971835,6.39364358479582,0.193309207094204,0,4.51975308089065,161.415183828112,0.503962563141159,3.65988297971521,0,3.90962345201223,0.258996713650069,0,0,0.506709679962186,0,0.725026154890051,1.14424905435118,2.54436870511747,432.709313016216,0.176296616788732,0.208650509197495
"40","15M","ventral striatum","1",58.9074049056871,7.21007650177368,1.04036647491953,0.347063811298301,4.79453835175724,228.454069808893,0,3.72397499637628,0,0.630861542806583,0.341096848355753,0,0,1.07470423361915,0,1.28360769479651,2.63108587324362,4.89163332488349,670.440023968421,0,0.761769857739285
"41","15M","ventral striatum","2",53.9435473310977,0,1.2501539199908,0,4.14301658306723,210.369752666855,0,5.46160097722377,0,3.62854909601142,0.389306482759846,0,0,0,0,0,2.87010539902381,3.14756963025405,685.45429196119,0,0
"42","15M","ventral striatum","3",52.4755585615978,23.0198504838197,0.92213196762195,0.342273865354115,5.1006324880782,103.380994641419,0.305450072355641,4.30478121001037,0,2.7771215711089,0.762889652547557,0,0,0,0,0.286246688999259,1.33043945616182,2.8777782384327,703.400919745944,0,0.396154534845253
"43","21M","anterior olfactory","1",36.2506338308772,62.6719431846106,0,0,4.51600496875157,136.770298836177,0.484693556059199,6.81606548927579,0,0,0,0,0,0,0,0,0.408302682286999,2.52056690639802,566.324341513018,0,0.362883025189795
"44","21M","anterior olfactory","2",61.3082734359568,22.7483791667087,0.328885018063432,0,6.15852846558786,143.997107197273,0.316526082102802,3.40511935094586,0,0.978252350952176,0,0,0,0,0,0,0.333086369682493,2.01756368171407,529.207037110514,0.31984462806012,0
"45","21M","anterior olfactory","3",26.9511939135789,70.286467291415,0.395596322904365,1.10954287252894,3.11171578865554,129.030864974052,0,6.0601806133044,0,0.523855523264163,0,0,0,0,0,0.323153389859802,0,1.62332602166637,446.19328598986,0,0.187039278568733
"46","21M","basal forebrain","1",46.1404357217963,0.495941957006487,1.55755429455955,0,3.12165047093894,289.877120134242,0,4.29369447500808,0,0,0.298837698312927,0,0,0.562772903213594,0,0,0,3.25942007933618,835.998932126877,0,0
"47","21M","basal forebrain","2",68.5650465131455,17.0690316433294,2.07960794336287,0,7.29295063245654,235.77959370864,0,6.00821475828079,0,2.31033915028642,1.00807343351385,0,0,0,0,0.386979569761481,1.62492696077707,4.02878917028764,942.956656018593,0,0
"48","21M","basal forebrain","3",48.7296143579957,0.249610511514743,2.02129677700237,0,3.87952525724996,239.122518100641,0,5.2433683765346,0,0.449237538011266,0.527584266103467,0,0,0,0,0,0.712907025788779,2.0453715187439,939.669346482707,0.906150040438747,0.204480311987507
"49","21M","caudate putamen","1",52.0385947402694,11.6125549155997,1.1506653951644,0,5.99946217374201,108.076249014406,0.214542886095198,2.06816418410615,0,0,0.11903286023026,0,0,0,0,0,0.122496966988891,0.586873870096831,698.077990490168,0.12642934009892,0.332725214109421
"50","21M","caudate putamen","2",67.0485955669676,25.0028948449092,1.28898015271658,0,8.38727774989392,93.9716598466358,0.430326547944219,1.51752424174146,0,0.233150640289732,0.18573918716643,0.241133654660857,0,0.251558760447425,0,0.625021695424805,0.21450699472876,0.896489699635034,665.623057328312,0,0.522952357487966
"51","21M","caudate putamen","3",54.2856617959043,14.2220913783128,0.902077006727509,0,7.01441651883084,119.882276268212,0.071495586272803,1.87106289980687,0,0.513919503188067,0,0,0,0,0,0.268989691174598,0,1.00735317381876,698.520004242822,0.247930829724404,0.878944861377132
"52","21M","cerebellum","1",50.5677306410258,11.1469126171641,1.02472611909877,0.0665054580029975,4.04854988781147,110.446538007706,0.542355179859751,11.4105408342086,0.0151920503777161,0.396547291800233,0.349061427396729,0.022927573121551,0,0.608216471030385,0,0.122490510417314,0.25799690067246,1.48151067426496,675.717554637075,0.144334334773179,0.293313586261421
"53","21M","cerebellum","2",52.8081160988246,14.5558335681907,1.59149377142135,0.178918348930577,5.45467371736708,84.7158023530989,0.604424007033427,11.4407721418275,0.0202979697273467,0.570000390056541,0.315572587114396,0.0222296542851067,0,1.11314162826444,0,0.344857778344231,0.290589797525605,1.60367616129714,630.520271290487,0.0318555505230722,0.379525834953885
"54","21M","cerebellum","3",42.9156326003056,6.81654798746146,0.693240187688857,0.1188057505354,2.46165458611352,97.2928575986242,0.265221038688171,6.58633762279937,0,0.304783963131227,0.115962814059545,0.0354724468956294,0,0.654909657357967,0,0.168196575166019,0.361242308802713,1.47722798019323,578.776372289595,0,0.164947381355511
"55","21M","corpus callosum","1",61.7689526127601,4.96594248298662,1.11367499219393,0.17687147896279,4.00283238663445,157.089191472932,0.683106520137987,1.3366262162561,0,0.760185293032666,0,0,0,0,0,0.148601442864179,0.679005777841217,0.126672055869036,649.619763165445,0,0.214171434299525
"56","21M","corpus callosum","2",61.6481150997691,0.618280379542328,0.491644079436167,0.309925874812719,3.55564764617323,109.482616544515,0.105351346469954,0.594426095266225,0,0.413003203499836,0,0,0,0,0,0.158531161300992,0.118863096512689,0.680374598052588,506.98060405624,0,0
"57","21M","corpus callosum","3",43.1590293021892,3.20156637643856,0.496174888618967,0.179632083004068,1.29767976441027,121.844614368769,0.180349069128932,0.526433375760123,0,0.178283830700068,0,0,0,0,0,0,0.363291152423458,0.28884326711421,521.21774677971,0.121209577826326,0
"58","21M","cortex","1",49.5537037228622,27.5540850755313,0.405294799213587,0.164485590180846,4.57596187723585,110.608142766664,0.329557127962684,4.99658638819726,0,0.802336100864713,0.090165161743765,0,0,0.0998571546667776,0,0.424602028800227,0.581111505249706,0.9960846395878,539.714942489894,0.125303987045133,0.238756695673174
"59","21M","cortex","2",57.9447949137518,14.6788682173934,0.280256346434526,0.123831120101912,4.41942436310291,99.3504045272008,0.320950865272801,3.28986759690181,0,0.673940674435949,0.243197033097801,0.0275614850102928,0,0.307717024792314,0,0.155828032671689,0.130684247107144,0.285998819236237,457.749627656301,0,0.172643339879084
